source_id,source_name,source_tier,citation,url,external_id,review_status,notes
SRC-0028,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Collinsia grandiflora.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Collinsia+grandiflora,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0029,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Grindelia stricta.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Grindelia+stricta,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0030,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Symphyotrichum subspicatum.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Symphyotrichum+subspicatum,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0031,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Vicia nigricans.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Vicia+nigricans,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0032,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Fragaria vesca.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Fragaria+vesca,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0033,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Sisyrinchium idahoense.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Sisyrinchium+idahoense,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0034,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Pteridium aquilinum.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Pteridium+aquilinum,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0035,E-Flora BC,Tier 2,E-Flora BC. Candidate common-name source for Matricaria discoidea.,https://linnet.geog.ubc.ca/Atlas/Atlas.aspx?noTransfer=0&sciname=Matricaria+discoidea,,pending_review,"Common-name support only; not evidence for traits, pollinator relationships, or planting suitability."
SRC-0036,Premier Pacific Seeds,Tier 3,Premier Pacific Seeds. Approved provider observation for Vancouver PoC sandbox.,https://premierpacificseeds.ca/products/,provider:PROV-PREMIER,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0037,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/acmispon-americanus-spanish-clover,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0038,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/melica-subulata,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
SRC-0039,Satinflower Nurseries,Tier 3,Satinflower Nurseries. Approved provider observation for Vancouver PoC sandbox.,https://satinflower.ca/products/american-winter-cress-barbarea-orthoceras,provider:PROV-SATIN,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
